,주유소 이름,주소,Latitude,Longitude,휘발유 가격
226,흥일주유소 주식회사,부산 사상구 낙동대로 1520 (삼락동),35.193805,128.9844389,1598
227,한라주유소,부산 사상구 학장로 107,35.1411743,128.9788572,1627
228,아산주유소,부산 사상구 새벽로 1 (학장동),35.1415779,128.9793112,1627
229,중앙주유소,부산 사상구 낙동대로 1316,35.1775234,128.9766067,1628
230,경동주유소,부산 사상구 백양대로 386 (주례동),35.1520303,129.0015317,1634
231,성경주유소,부산 사상구 모덕로 69 (모라동),35.1817704,128.9839416,1638
232,대흥오일뱅크주유소,부산 사상구 새벽로 2,35.1415899,128.9799761,1638
233,산업주유소,부산 사상구 낙동대로 879 (감전동),35.1390636,128.9702163,1638
234,농산물주유소,부산 사상구 농산물시장로25번길 94,35.1311674,128.9682262,1678
235,새동창주유소,부산 사상구 낙동대로 920 (감전동),35.1546612,128.9795394,1678
236,HD현대오일뱅크㈜직영 감전주유소,부산 사상구 낙동대로 978 (감전동),35.1474568,128.9709766,1679
237,대림주유소,부산 사상구 낙동대로 1320,35.1779337,128.9765592,1679
238,광신홀딩스㈜ 직영 낙동대로주유소,부산 사상구 낙동대로 935,35.1440055,128.9692699,1689
239,행복한셀프주유소,부산 사상구 학감대로 73 (학장동),35.1388675,128.9918634,1689
240,지에스칼텍스(주)서부주유소,부산 사상구 낙동대로 1380,35.1833254,128.9766853,1739
241,아시아사상주유소,부산 사상구 새벽로 207 (괘법동),35.1597328,128.9837318,1797
242,서부산농협주유소,부산 사하구 장평로 177 (장림동),35.0818527,128.9724283,1559
243,장림대흥주유소,부산 사하구 다대로 292 (장림동),35.0765381,128.9783015,1569
244,새마당주유소 (주)지오에너지,부산 사하구 장평로 152 (장림동),35.0797432,128.9729467,1569
245,에스씨(주) 감천주유소,부산 사하구 감천로 79 (감천동),35.0892358,129.0010713,1574
246,사하주유소,부산 사하구 을숙도대로 583,35.0854872,128.9693107,1574
247,동원주유소(주),부산 사하구 감천항로 445 (구평동),35.0542059,128.9953369,1574
248,대양석유(주) SK괴정주유소,부산광역시 사하구  사하로 129,35.0934703,128.9925083,1574
249,전진알뜰주유소,부산 사하구 다대로 575 (다대동),35.0552016,128.9708083,1574
250,부영석유 도매주유소,부산 사하구 을숙도대로 564,35.0850714,128.9674708,1574
251,토성셀프주유소,부산 사하구 다대로 581 (다대동),35.054792,128.9708838,1574
252,회화에너지,부산 사하구 사하로 150,35.0949598,128.9936811,1574
253,광신홀딩스㈜ 직영 을숙도대로주유소,부산 사하구 을숙도대로 530 (신평동),35.085085,128.9636836,1574
254,극동유화(주) 부산주유소,부산 사하구 하신중앙로 165,35.0930867,128.9629145,1595
255,(주)천일에너지 대진주유소,부산 사하구 낙동대로 339,35.1002675,128.9797995,1597
256,남성주유소,부산 사하구 하신중앙로 240,35.099835,128.9610191,1597
257,㈜대로주유소 오일,부산 사하구 다대로 280 (장림동),35.0775271,128.9760997,1599
258,조은셀프주유소,부산 사하구 낙동대로 312 (괴정동),35.1001101,128.9831903,1618
259,신평주유소,부산 사하구 하신중앙로 166 (신평동),35.0937346,128.9631461,1637
260,대창제1주유소,부산 사하구 을숙도대로 821,35.0859034,128.9941181,1639
261,다대로주유소,부산 사하구 을숙도대로 712,35.0844669,128.9832217,1648
262,인도에너지(주),부산 사하구 감천항로 20,35.0854401,128.9977344,1658
263,장림주유소,부산 사하구 장림로 287 (장림동),35.0842059,128.9796012,1678
264,대호주유소,부산 사하구 하신중앙로 55 (신평동),35.0839867,128.9646363,1685
265,SK에너지(주)국영,부산 사하구 장림번영로 7 (장림동),35.0819118,128.9668465,1699
266,남항대교주유소,부산 서구 충무대로 108 (암남동),35.0805766,129.0238466,1528
267,피치스주유소 빙고점,부산 서구 충무대로 240,35.0919615,129.0244026,1528
268,충무대로 셀프주유소 와이케이에너지㈜,부산 서구 충무대로 126,35.0816386,129.0253715,1528
269,(주)디시에너지 운동장,부산 서구 보수대로 220 (동대신제3동),35.1171053,129.0188043,1578
270,(주)디시에너지 대신지점,부산 서구 대영로 91,35.1114057,129.0210485,1588
271,고려주유소 대신점,부산 서구 대영로 88,35.1108586,129.0207879,1589
272,남부주유소 (송도아랫길),부산 서구 충무대로 150 (남부민동),35.0873609,129.0232453,1599
273,(주)부영에너지직영신일주유소,부산 서구 구덕로 273 (서대신동1가),35.1097703,129.0172694,1698
274,㈜한국페트로 스타2주유소,부산 서구 원양로 260,35.0742783,129.0064934,1868
275,피치스주유소 송도점,부산 서구 감천로 227,35.0821804,129.0125945,1888
276,(주)경인에너지 광안리주유소,부산 수영구 광남로 83,35.1496964,129.113866,1563
277,(주)세왕에너지 세진주유소,부산 수영구 광남로 176,35.1564917,129.1195737,1563
278,마린타이거주유소,부산 수영구 광남로 241 (민락동),35.1594454,129.1253524,1563
279,신영주유소,부산 수영구 과정로 23,35.1735112,129.10804,1574
280,센텀타이거주유소,부산 수영구 민락본동로 30,35.1594492,129.1286839,1578
281,대양산업(주)대영주유소,부산 수영구 수영로 731,35.1688937,129.1192554,1583
282,지에스칼텍스㈜ 인성셀프주유소,부산 수영구 연수로 250,35.1730045,129.0979111,1624
283,땡큐망미주유소,부산 수영구  연수로 254 (망미동),35.1729852,129.0989666,1624
284,금련산주유소,부산 수영구 수영로 491 (남천동),35.1424905,129.1028311,1675
285,지에스칼텍스(주)부산주유소,부산 수영구 수영로 558,35.1553349,129.1128987,1685
286,지에스칼텍스(주) 언덕주유소,부산 수영구 연수로 239,35.1735966,129.0967003,1689
287,(주)청유주유소,부산 수영구 좌수영로 147 (망미동),35.1770096,129.1176086,1798
288,SK에너지(주)강일주유소,부산 수영구 연수로 411,35.1683006,129.1143225,1798
289,금호주유소,"부산 수영구 과정로 4,  (망미동)",35.1722215,129.1095381,1799
290,하얀100연산주유소,부산 연제구 반송로 68,35.1897622,129.0870872,1549
291,아시아드주유소,부산 연제구  거제대로 130 (거제동),35.1800682,129.0694764,1559
292,(주)좋은기름나라연산주유소지점,부산 연제구 고분로 51 (연산동),35.1858103,129.0878353,1565
293,현대오일뱅크㈜직영 연산셀프주유소,부산 연제구 중앙대로 1179,35.1926978,129.0794286,1568
294,연안로주유소,부산 연제구 연안로 20,35.1896289,129.1074533,1574
295,성학주유소,부산 연제구 월드컵대로 249 (거제동),35.1901534,129.0699011,1588
296,자이주유소,부산 연제구 과정로 325,35.1893797,129.0920261,1599
297,광동페트로㈜ 감사드림주유소,부산 연제구 거제대로 98,35.1772008,129.0683523,1624
298,광신홀딩스㈜ 직영 토곡주유소,부산 연제구 과정로 208,35.1881011,129.1048652,1624
299,금천셀프주유소,부산 연제구 과정로 134 (연산동),35.1833008,129.1073562,1645
300,현대오일뱅크(주)직영 부산현대주유소,부산 연제구 아시아드대로 107 (거제동),35.1938554,129.0661901,1669
301,영웅주유소,부산 연제구 온천천남로 86 (연산동),35.1910667,129.0998465,1699
302,연제주유소,부산 연제구 연수로 87,35.1756756,129.0802389,1719
303,SK에너지(주)부흥셀프주유소,부산 연제구 과정로 120 (연산동),35.1821632,129.1074423,1798
304,동현주유소,부산 영도구 해양로 212,35.087155,129.0724537,1692
